CreditScore_x,Geography_x,Gender_x,Age_x,Tenure_x,Balance_x,NumOfProducts_x,HasCrCard_x,IsActiveMember_x,EstimatedSalary_x,Churn_Probability,Actual_Churn,CustomerId,Retention_Action,CreditScore_y,Geography_y,Gender_y,Age_y,Tenure_y,Balance_y,NumOfProducts_y,HasCrCard_y,IsActiveMember_y,EstimatedSalary_y
585,France,1,36,7,0.0,2,1,0,94283.09,0.022195263,0,15749540,No Action Needed,-0.3095834586443379,-0.0657055951561778,-0.3501539902482182,-0.340664530826034,-0.1749996543279849,-0.4127278855256736,-1.0119724661065266,-0.0056396446912549,0.6227705065580085,0.1702600187330972
525,Germany,1,33,4,131023.76,2,0,0,55072.93,0.036501646,0,15807340,No Action Needed,0.1331455574167193,0.1907563051744364,-0.1848780916491523,-0.8979390064504696,0.0652784380153752,0.2658009393548127,-0.9842454345605802,0.0981506274663843,0.4606555200729053,0.0839061172574292
557,Spain,0,40,4,0.0,2,0,1,105433.53,0.0077600805,0,15801062,No Action Needed,-0.2988818185403943,-0.1690564325544983,0.302018308667466,0.3207812088026548,0.0103613077057525,-0.4613426429172977,-0.912085511846235,0.2197706815274432,-0.6411639481212478,-0.8287899934314191
639,Spain,1,34,5,139393.19,2,0,0,33950.08,0.0075620953,0,15572801,No Action Needed,-0.5116758526326157,0.0037143405689857,-0.1671341148228384,-0.8150154535565526,-0.1414059598045423,0.2850282159611379,-0.8932703827228398,-0.2525019696494564,0.3208230164111592,-0.6995222307532094
640,Spain,0,34,3,77826.8,1,1,1,168544.85,0.0467589,0,15600708,No Action Needed,-0.5651197189628147,-0.0150466677895747,0.364175925066229,-0.6994850558249164,0.031060052732937,-0.1195904538827016,0.6441443264530972,-0.0290157163783442,-0.2491105919692199,-0.5278824409353546
559,Spain,1,34,0,0.0,1,1,0,182988.94,0.07755628,0,15703544,No Action Needed,-0.0831458219175692,0.1486666675889864,-0.2452406062581576,-0.5491516661722562,-0.0458479165611788,0.0460512142884545,1.2580883605848066,-0.0752367887028958,0.3437502987775951,0.1237565444328356
595,Germany,1,30,9,130682.11,2,1,1,57862.88,0.019595297,0,15704081,No Action Needed,0.1912357751454692,0.1833389182202518,-0.2175652842922136,-0.4629729498643428,-0.1822478965553455,0.837100660543656,-0.9580572181567548,-0.0296216546068899,-0.2911082477134187,0.2882006155431736
706,Germany,0,29,6,185544.36,1,1,0,171037.63,0.5095615,0,15801788,Send Engagement Email,-0.0416674999165115,-0.0778956580394878,0.5756278928229586,-0.9362233813654166,-0.0065417820389848,0.5706550545792561,0.9646210890600924,-0.0771928363828919,0.7092860749131069,0.4998064479220193
505,France,1,49,7,80001.23,1,0,0,135180.11,0.49787074,0,15592222,No Action Needed,0.1194408676680177,-0.2597323289397172,-0.3491975121712312,2.06032111249835,-0.4238225061655976,0.2422813167911954,0.7167719696625136,0.1182129661878571,0.5778225274232682,-0.0047640937077812
714,France,0,40,0,0.0,2,1,0,62762.12,0.083899036,0,15584338,No Action Needed,0.0964619441062677,-0.1663245896645821,0.4012432014709338,0.3946083797467872,-0.0963254096265882,-0.4130373932607472,-1.23121108842548,0.0058639570046216,0.3675154996057972,-0.0787132430274505
